cycle,cycle_dt_us,work_dt_us
0,1069.5,576.5
1,997.1,386.8
2,1001.4,369.4
3,997.6,681.7
4,1001.7,602.4
5,999.7,594.2
6,1000.3,595.9
7,999.5,265.7
8,1000.4,302.0
9,1000.6,579.0
10,999.3,355.3
11,1000.6,363.4
12,1002.4,312.2
13,996.5,264.6
14,1029.1,321.8
15,978.9,679.1
16,993.0,581.0
17,992.0,597.7
18,1004.9,246.2
19,1001.2,766.1
20,1001.3,274.6
21,997.5,344.2
22,999.1,313.2
23,1000.8,306.0
24,1000.0,316.5
25,999.9,306.2
26,1000.2,615.6
27,1000.0,614.3
28,999.7,569.2
29,1002.6,569.6
30,994.7,266.0
31,1007.3,295.5
32,1002.3,261.6
33,999.7,348.6
34,990.3,344.3
35,997.7,304.4
36,997.8,292.0
37,999.9,294.1
38,1000.1,570.4
39,1000.8,603.3
40,999.7,583.8
41,999.8,569.8
42,1001.1,286.3
43,998.7,293.3
44,1001.6,313.8
45,999.2,302.6
46,1001.3,285.7
47,999.3,267.5
48,1005.1,321.6
49,1003.7,588.9
50,1001.8,616.3
51,991.8,556.6
52,998.9,570.2
53,998.1,240.8
54,999.8,312.2
55,1000.0,303.9
56,999.3,279.3
57,1000.0,317.1
58,1000.1,288.4
59,999.9,281.8
60,1002.0,271.9
61,998.2,601.1
62,1000.0,595.3
63,1002.8,249.8
64,1004.2,245.9
65,1005.2,284.5
66,1000.6,605.3
67,992.5,305.0
68,999.4,324.2
69,996.1,312.7
70,1001.9,276.6
71,997.8,296.0
72,1000.5,592.0
73,999.6,220.8
74,1000.0,572.6
75,1000.0,242.0
76,1000.3,276.8
77,999.7,238.7
78,1002.0,295.5
79,1007.5,267.2
80,1005.4,275.3
81,998.0,279.1
82,998.9,358.3
83,997.1,321.4
84,999.3,565.0
85,998.8,540.6
86,1001.5,246.8
87,998.3,535.2
88,1003.2,257.8
89,1000.2,332.3
90,1000.2,341.3
91,996.6,370.4
92,1000.3,325.2
93,1000.2,336.1
94,999.1,325.8
95,1000.4,599.1
96,1000.0,705.3
97,1014.2,559.9
98,999.7,557.9
99,988.1,602.2
100,1006.8,273.9
101,987.8,587.2
102,997.5,276.2
103,999.7,302.8
104,1006.6,249.1
105,1000.6,329.6
106,999.7,348.5
107,998.0,594.9
108,999.8,572.5
109,1000.2,596.9
110,1003.9,271.7
111,997.7,297.4
112,999.8,313.2
113,1000.3,332.5
114,995.3,367.5
115,1021.0,312.5
116,996.6,368.1
117,1008.3,410.7
118,985.6,640.9
119,994.9,604.0
120,997.6,596.3
121,1001.2,572.1
122,999.4,289.6
123,1000.2,305.3
124,999.2,579.7
125,999.8,344.6
126,1000.6,307.7
127,1000.1,327.5
128,1001.7,325.9
129,1002.3,323.5
130,1010.3,619.0
131,997.2,635.2
132,989.9,551.2
133,1005.5,292.5
134,995.9,621.6
135,999.9,265.2
136,999.9,356.4
137,1000.1,339.2
138,999.6,351.1
139,999.9,391.5
140,1000.7,364.1
141,999.9,671.5
142,997.5,610.0
143,1000.7,639.0
144,999.6,625.1
145,999.8,592.5
146,1014.6,281.3
147,1004.8,550.9
148,988.8,311.8
149,992.8,337.8
150,1001.6,493.4
151,1003.7,271.1
152,995.8,312.6
153,998.7,598.1
154,1000.4,592.0
155,1001.4,573.6
156,1000.1,281.9
157,999.7,281.2
158,1000.2,368.7
159,1000.8,375.9
160,998.9,295.3
161,1002.8,352.1
162,1000.7,319.0
163,1007.9,312.0
164,1002.2,662.0
165,985.6,648.5
166,998.2,646.6
167,1004.6,286.5
168,997.4,321.9
169,999.5,334.4
170,999.5,319.3
171,1003.6,314.3
172,998.4,322.1
173,1000.3,330.8
174,999.5,345.2
175,1000.3,325.7
176,998.1,628.4
177,1001.2,618.7
178,999.8,277.7
179,1003.3,334.9
180,1010.1,291.3
181,997.3,574.2
182,991.2,328.4
183,1005.6,370.2
184,993.5,344.0
185,996.5,364.8
186,999.5,312.7
187,1000.7,714.7
188,998.5,619.5
189,999.3,622.0
190,1000.1,604.8
191,1001.1,292.4
192,999.2,313.8
193,1001.4,302.3
194,999.7,396.5
195,998.9,315.2
196,1013.9,390.6
197,1011.9,310.4
198,984.0,366.9
199,994.6,625.5
200,1000.3,590.8
201,1004.7,270.2
202,996.3,287.8
203,997.5,317.0
204,1003.7,342.2
205,996.5,382.3
206,1001.9,327.4
207,996.4,352.8
208,998.5,350.4
209,1000.5,329.0
210,999.5,654.8
211,1001.2,624.3
212,1000.8,620.2
213,1014.0,271.8
214,1004.7,594.0
215,983.3,580.2
216,1000.6,331.2
217,1008.0,350.1
218,991.9,334.5
