cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
0,0.0,796.9,90.0800,90.0863,90.0800,0.0000,0.0063,0.0063
1,1059.6,707.0,90.0863,90.0926,90.0800,0.0063,0.0126,0.0063
2,998.5,395.6,90.0926,90.0989,90.0800,0.0126,0.0188,0.0063
3,1002.8,390.5,90.0989,90.1051,90.0800,0.0188,0.0251,0.0063
4,998.9,697.5,90.1051,90.1114,90.0800,0.0251,0.0314,0.0063
5,1005.9,398.5,90.1114,90.1177,90.0800,0.0314,0.0377,0.0063
6,1002.2,465.0,90.1177,90.1240,90.0800,0.0377,0.0440,0.0063
7,1002.6,413.3,90.1240,90.1303,90.0800,0.0440,0.0503,0.0063
8,995.3,373.3,90.1303,90.1366,90.0800,0.0503,0.0565,0.0063
9,1018.6,377.5,90.1366,90.1428,90.0800,0.0565,0.0628,0.0063
10,995.6,400.6,90.1428,90.1491,90.0800,0.0628,0.0691,0.0063
11,1000.6,401.3,90.1491,90.1554,90.0800,0.0691,0.0754,0.0063
12,992.4,363.1,90.1554,90.1617,90.0800,0.0754,0.0817,0.0063
13,993.4,380.3,90.1617,90.1680,90.0800,0.0817,0.0880,0.0063
14,999.5,363.0,90.1680,90.1743,90.0800,0.0880,0.0942,0.0063
15,1000.6,374.7,90.1743,90.1805,90.0800,0.0942,0.1005,0.0063
16,4097.8,509.8,90.1805,90.1868,90.0800,0.1005,0.1068,0.0063
17,518.8,522.9,90.1868,90.1931,90.0800,0.1068,0.1131,0.0063
18,529.3,580.8,90.1931,90.1994,90.0800,0.1131,0.1194,0.0063
19,586.7,332.2,90.1994,90.2057,90.0800,0.1194,0.1257,0.0063
20,336.4,292.6,90.2057,90.2119,90.0800,0.1257,0.1319,0.0063
21,296.1,389.3,90.2119,90.2182,90.0800,0.1319,0.1382,0.0063
22,636.5,383.6,90.2182,90.2245,90.0800,0.1382,0.1445,0.0063
23,1000.7,400.2,90.2245,90.2308,90.0800,0.1445,0.1508,0.0063
24,999.5,387.6,90.2308,90.2371,90.0800,0.1508,0.1571,0.0063
25,999.8,374.7,90.2371,90.2434,90.0800,0.1571,0.1633,0.0063
26,999.9,378.9,90.2434,90.2496,90.0800,0.1633,0.1696,0.0063
27,1000.2,373.4,90.2496,90.2559,90.0800,0.1696,0.1759,0.0063
28,999.9,371.6,90.2559,90.2622,90.0800,0.1759,0.1822,0.0063
29,1000.3,384.2,90.2622,90.2685,90.0800,0.1822,0.1885,0.0063
30,1000.0,337.4,90.2685,90.2747,90.0800,0.1885,0.1947,0.0063
31,1024.0,334.3,90.2747,90.2810,90.0800,0.1947,0.2010,0.0063
32,967.1,368.0,90.2810,90.2873,90.0800,0.2010,0.2073,0.0063
33,999.6,400.8,90.2873,90.2936,90.0800,0.2073,0.2136,0.0063
34,999.6,383.8,90.2936,90.2999,90.0800,0.2136,0.2198,0.0063
35,998.6,366.6,90.2999,90.3061,90.0800,0.2198,0.2261,0.0063
36,1000.0,611.4,90.3061,90.3124,90.0800,0.2261,0.2324,0.0063
37,1001.6,314.5,90.3124,90.3187,90.0800,0.2324,0.2387,0.0063
38,1015.7,341.3,90.3187,90.3250,90.0800,0.2387,0.2449,0.0063
39,986.0,408.9,90.3250,90.3312,90.0800,0.2449,0.2512,0.0063
40,1017.4,330.6,90.3312,90.3375,90.0800,0.2512,0.2575,0.0063
41,998.6,353.9,90.3375,90.3438,90.0800,0.2575,0.2638,0.0063
42,990.1,369.9,90.3438,90.3501,90.0800,0.2638,0.2701,0.0063
43,1000.0,370.9,90.3501,90.3563,90.0800,0.2700,0.2763,0.0063
44,999.2,427.0,90.3563,90.3626,90.0800,0.2763,0.2826,0.0063
45,999.6,715.8,90.3626,90.3689,90.0800,0.2826,0.2889,0.0063
46,999.9,352.7,90.3689,90.3752,90.0800,0.2889,0.2951,0.0063
47,1004.7,378.6,90.3752,90.3814,90.0800,0.2951,0.3014,0.0063
48,997.4,369.2,90.3814,90.3877,90.0800,0.3014,0.3077,0.0063
49,1000.6,370.0,90.3877,90.3940,90.0800,0.3077,0.3140,0.0063
50,999.4,347.2,90.3940,90.4002,90.0800,0.3140,0.3202,0.0063
51,1003.1,685.3,90.4002,90.4065,90.0800,0.3202,0.3265,0.0063
52,997.5,331.1,90.4065,90.4128,90.0800,0.3265,0.3328,0.0063
53,999.6,380.4,90.4128,90.4191,90.0800,0.3328,0.3390,0.0063
54,999.8,361.6,90.4190,90.4253,90.0800,0.3390,0.3453,0.0063
55,1000.3,365.3,90.4253,90.4316,90.0800,0.3453,0.3516,0.0063
56,1000.1,394.9,90.4316,90.4379,90.0800,0.3516,0.3578,0.0063
57,997.5,678.6,90.4379,90.4441,90.0800,0.3578,0.3641,0.0063
58,1000.0,346.1,90.4441,90.4504,90.0800,0.3641,0.3704,0.0063
59,1010.0,341.8,90.4504,90.4567,90.0800,0.3704,0.3766,0.0063
60,993.9,350.1,90.4567,90.4629,90.0800,0.3766,0.3829,0.0063
61,997.9,390.2,90.4629,90.4692,90.0800,0.3829,0.3892,0.0063
62,1012.5,352.0,90.4692,90.4755,90.0800,0.3892,0.3954,0.0063
63,987.6,685.5,90.4754,90.4817,90.0800,0.3954,0.4017,0.0063
64,1001.4,361.6,90.4817,90.4880,90.0800,0.4017,0.4080,0.0063
65,997.8,357.0,90.4880,90.4942,90.0800,0.4080,0.4142,0.0063
66,1001.9,703.8,90.4942,90.5005,90.0800,0.4142,0.4205,0.0063
67,997.2,349.3,90.5005,90.5068,90.0800,0.4205,0.4267,0.0063
68,1004.9,411.5,90.5068,90.5130,90.0800,0.4267,0.4330,0.0063
69,997.8,430.0,90.5130,90.5193,90.0800,0.4330,0.4393,0.0063
70,999.7,447.8,90.5193,90.5255,90.0800,0.4393,0.4455,0.0063
71,999.7,693.5,90.5255,90.5318,90.0800,0.4455,0.4518,0.0063
72,998.1,368.0,90.5318,90.5381,90.0801,0.4517,0.4580,0.0063
73,1002.1,369.1,90.5380,90.5443,90.0801,0.4580,0.4642,0.0063
74,1000.1,397.6,90.5443,90.5506,90.0801,0.4642,0.4705,0.0063
75,1000.3,383.3,90.5506,90.5568,90.0801,0.4705,0.4768,0.0063
76,999.9,386.0,90.5568,90.5631,90.0801,0.4767,0.4830,0.0063
77,999.3,390.3,90.5631,90.5693,90.0801,0.4830,0.4893,0.0063
78,1002.0,355.5,90.5693,90.5756,90.0801,0.4893,0.4955,0.0063
79,999.7,354.9,90.5756,90.5818,90.0801,0.4955,0.5018,0.0063
80,997.9,352.8,90.5818,90.5881,90.0801,0.5018,0.5080,0.0063
81,999.5,354.2,90.5881,90.5943,90.0801,0.5080,0.5143,0.0063
82,999.8,355.8,90.5943,90.6006,90.0801,0.5143,0.5205,0.0063
83,1000.4,370.7,90.6006,90.6068,90.0801,0.5205,0.5268,0.0063
84,999.6,361.7,90.6068,90.6131,90.0801,0.5268,0.5330,0.0063
85,1000.3,336.5,90.6131,90.6193,90.0801,0.5330,0.5393,0.0063
86,1000.1,356.9,90.6193,90.6256,90.0801,0.5392,0.5455,0.0063
87,1002.9,341.5,90.6256,90.6318,90.0801,0.5455,0.5518,0.0063
88,998.7,353.2,90.6318,90.6381,90.0801,0.5517,0.5580,0.0063
89,1002.1,370.8,90.6381,90.6443,90.0801,0.5580,0.5642,0.0063
90,996.8,370.9,90.6443,90.6506,90.0801,0.5642,0.5705,0.0063
91,1000.3,392.5,90.6505,90.6568,90.0801,0.5705,0.5767,0.0063
92,999.7,384.1,90.6568,90.6630,90.0801,0.5767,0.5830,0.0063
93,1000.1,426.1,90.6630,90.6693,90.0801,0.5830,0.5892,0.0063
94,1000.2,398.5,90.6693,90.6755,90.0801,0.5892,0.5955,0.0063
95,999.7,722.0,90.6755,90.6818,90.0801,0.5954,0.6017,0.0063
96,999.5,389.0,90.6817,90.6880,90.0801,0.6017,0.6079,0.0063
97,1000.6,413.5,90.6880,90.6942,90.0801,0.6079,0.6142,0.0063
98,1000.3,675.9,90.6942,90.7005,90.0801,0.6141,0.6204,0.0063
99,998.4,384.3,90.7004,90.7067,90.0801,0.6204,0.6266,0.0063
100,997.4,426.1,90.7067,90.7129,90.0801,0.6266,0.6329,0.0063
101,1001.5,686.9,90.7129,90.7192,90.0801,0.6328,0.6391,0.0063
102,999.2,368.7,90.7191,90.7254,90.0801,0.6391,0.6453,0.0063
103,1002.5,352.7,90.7254,90.7316,90.0801,0.6453,0.6516,0.0063
104,1005.2,666.5,90.7316,90.7379,90.0825,0.6491,0.6553,0.0063
105,994.5,346.4,90.7378,90.7441,90.0981,0.6397,0.6460,0.0063
106,999.3,374.9,90.7441,90.7503,90.1247,0.6194,0.6256,0.0063
107,999.8,352.8,90.7503,90.7565,90.1627,0.5876,0.5939,0.0063
108,1002.8,356.7,90.7565,90.7628,90.2088,0.5478,0.5540,0.0063
109,997.9,358.5,90.7627,90.7690,90.2532,0.5095,0.5158,0.0063
110,999.4,343.7,90.7690,90.7752,90.2849,0.4841,0.4903,0.0063
111,1000.3,353.0,90.7752,90.7814,90.3095,0.4657,0.4720,0.0063
112,999.5,347.8,90.7814,90.7877,90.3311,0.4503,0.4566,0.0063
113,1001.0,674.2,90.7876,90.7939,90.3540,0.4336,0.4399,0.0063
114,998.5,341.0,90.7939,90.8001,90.3764,0.4174,0.4237,0.0063
115,1001.8,338.7,90.8001,90.8063,90.3994,0.4006,0.4069,0.0063
116,999.5,674.8,90.8063,90.8125,90.4223,0.3840,0.3903,0.0062
117,999.9,349.4,90.8125,90.8188,90.4457,0.3668,0.3730,0.0062
