cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
0,0.0,431.0,90.1699,90.1762,90.1699,0.0000,0.0063,0.0063
1,1006.8,292.2,90.1762,90.1825,90.1699,0.0063,0.0126,0.0063
2,1002.0,316.1,90.1825,90.1888,90.1699,0.0126,0.0188,0.0063
3,999.7,280.4,90.1888,90.1951,90.1699,0.0188,0.0251,0.0063
4,999.8,272.7,90.1951,90.2014,90.1699,0.0251,0.0314,0.0063
5,999.7,268.1,90.2014,90.2076,90.1699,0.0314,0.0377,0.0063
6,998.6,278.4,90.2076,90.2139,90.1699,0.0377,0.0440,0.0063
7,999.2,262.4,90.2139,90.2202,90.1699,0.0440,0.0503,0.0063
8,999.3,284.6,90.2202,90.2265,90.1699,0.0503,0.0565,0.0063
9,999.9,258.1,90.2265,90.2328,90.1699,0.0565,0.0628,0.0063
10,1000.0,263.2,90.2328,90.2391,90.1699,0.0628,0.0691,0.0063
11,1000.2,276.8,90.2391,90.2453,90.1699,0.0691,0.0754,0.0063
12,1000.2,252.5,90.2453,90.2516,90.1699,0.0754,0.0817,0.0063
13,1003.0,281.7,90.2516,90.2579,90.1699,0.0817,0.0880,0.0063
14,999.6,274.8,90.2579,90.2642,90.1699,0.0880,0.0942,0.0063
15,1000.0,257.2,90.2642,90.2705,90.1699,0.0942,0.1005,0.0063
16,998.1,277.0,90.2705,90.2768,90.1699,0.1005,0.1068,0.0063
17,999.6,262.1,90.2768,90.2830,90.1699,0.1068,0.1131,0.0063
18,999.7,289.6,90.2830,90.2893,90.1699,0.1131,0.1194,0.0063
19,999.8,309.6,90.2893,90.2956,90.1699,0.1194,0.1257,0.0063
20,1000.6,329.4,90.2956,90.3019,90.1699,0.1257,0.1319,0.0063
21,1002.2,324.7,90.3019,90.3082,90.1699,0.1319,0.1382,0.0063
22,1000.1,332.3,90.3082,90.3144,90.1699,0.1382,0.1445,0.0063
23,1000.0,305.2,90.3144,90.3207,90.1699,0.1445,0.1508,0.0063
24,1000.3,324.4,90.3207,90.3270,90.1699,0.1508,0.1571,0.0063
25,998.2,277.5,90.3270,90.3333,90.1699,0.1571,0.1633,0.0063
26,998.8,276.1,90.3333,90.3396,90.1699,0.1633,0.1696,0.0063
27,1000.6,261.4,90.3396,90.3458,90.1699,0.1696,0.1759,0.0063
28,1002.7,286.9,90.3458,90.3521,90.1699,0.1759,0.1822,0.0063
29,1000.6,266.3,90.3521,90.3584,90.1699,0.1822,0.1885,0.0063
30,999.6,262.7,90.3584,90.3647,90.1699,0.1885,0.1947,0.0063
31,998.6,280.4,90.3647,90.3710,90.1699,0.1947,0.2010,0.0063
32,997.7,251.4,90.3710,90.3772,90.1699,0.2010,0.2073,0.0063
