cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
0,0.0,472.7,90.0516,90.0579,90.0516,0.0000,0.0063,0.0063
1,1057.2,368.4,90.0579,90.0642,90.0516,0.0063,0.0126,0.0063
2,1007.4,355.5,90.0642,90.0705,90.0516,0.0126,0.0188,0.0063
3,994.0,294.9,90.0705,90.0768,90.0516,0.0188,0.0251,0.0063
4,1000.6,305.6,90.0768,90.0830,90.0516,0.0251,0.0314,0.0063
5,3663.7,432.3,90.0830,90.0893,90.0516,0.0314,0.0377,0.0063
6,436.9,630.4,90.0893,90.0956,90.0516,0.0377,0.0440,0.0063
7,641.1,218.8,90.0956,90.1019,90.0516,0.0440,0.0503,0.0063
8,220.6,243.6,90.1019,90.1082,90.0516,0.0503,0.0565,0.0063
9,245.2,239.0,90.1082,90.1145,90.0516,0.0565,0.0628,0.0063
10,793.5,280.3,90.1145,90.1207,90.0516,0.0628,0.0691,0.0063
11,1496.0,333.6,90.1207,90.1270,90.0516,0.0691,0.0754,0.0063
12,506.1,299.0,90.1270,90.1333,90.0516,0.0754,0.0817,0.0063
13,1002.0,303.9,90.1333,90.1396,90.0516,0.0817,0.0880,0.0063
14,994.8,378.6,90.1396,90.1459,90.0516,0.0880,0.0942,0.0063
15,998.1,283.6,90.1459,90.1521,90.0516,0.0942,0.1005,0.0063
16,1003.0,287.4,90.1521,90.1584,90.0516,0.1005,0.1068,0.0063
17,998.0,330.6,90.1584,90.1647,90.0516,0.1068,0.1131,0.0063
18,998.1,331.1,90.1647,90.1710,90.0516,0.1131,0.1194,0.0063
19,1871.2,694.5,90.1710,90.1773,90.0516,0.1194,0.1257,0.0063
20,699.1,336.9,90.1773,90.1836,90.0516,0.1257,0.1319,0.0063
21,432.9,314.8,90.1836,90.1898,90.0516,0.1319,0.1382,0.0063
22,998.6,346.5,90.1898,90.1961,90.0516,0.1382,0.1445,0.0063
23,999.4,350.4,90.1961,90.2024,90.0516,0.1445,0.1508,0.0063
24,998.5,272.9,90.2024,90.2087,90.0516,0.1508,0.1571,0.0063
25,1000.1,305.0,90.2087,90.2150,90.0516,0.1571,0.1633,0.0063
26,1000.5,288.5,90.2150,90.2212,90.0516,0.1633,0.1696,0.0063
27,999.7,285.2,90.2212,90.2275,90.0516,0.1696,0.1759,0.0063
28,1003.0,827.7,90.2275,90.2338,90.0516,0.1759,0.1822,0.0063
29,1000.3,278.9,90.2338,90.2401,90.0516,0.1822,0.1885,0.0063
30,1002.4,376.4,90.2401,90.2464,90.0516,0.1885,0.1947,0.0063
31,997.9,288.9,90.2463,90.2526,90.0516,0.1947,0.2010,0.0063
32,1000.2,301.9,90.2526,90.2589,90.0516,0.2010,0.2073,0.0063
33,1375.4,470.5,90.2589,90.2652,90.0516,0.2073,0.2136,0.0063
34,625.5,305.2,90.2652,90.2715,90.0516,0.2136,0.2198,0.0063
35,1004.8,297.1,90.2715,90.2777,90.0516,0.2198,0.2261,0.0063
36,991.9,3543.2,90.2777,90.2840,90.0516,0.2261,0.2324,0.0063
37,3548.0,360.6,90.2840,90.2903,90.0516,0.2324,0.2387,0.0063
38,363.4,271.5,90.2903,90.2966,90.0516,0.2387,0.2449,0.0063
39,275.0,230.8,90.2966,90.3028,90.0516,0.2449,0.2512,0.0063
40,233.2,649.7,90.3028,90.3091,90.0516,0.2512,0.2575,0.0063
41,652.5,323.7,90.3091,90.3154,90.0516,0.2575,0.2638,0.0063
42,929.5,330.7,90.3154,90.3217,90.0516,0.2638,0.2701,0.0063
43,997.5,325.3,90.3217,90.3279,90.0516,0.2700,0.2763,0.0063
44,1000.0,318.0,90.3279,90.3342,90.0516,0.2763,0.2826,0.0063
45,999.6,309.8,90.3342,90.3405,90.0516,0.2826,0.2889,0.0063
46,1000.0,296.5,90.3405,90.3468,90.0516,0.2889,0.2951,0.0063
47,1000.7,303.2,90.3468,90.3530,90.0516,0.2951,0.3014,0.0063
48,999.7,281.0,90.3530,90.3593,90.0516,0.3014,0.3077,0.0063
49,1000.4,314.8,90.3593,90.3656,90.0516,0.3077,0.3140,0.0063
50,2378.0,826.8,90.3656,90.3719,90.0516,0.3140,0.3202,0.0063
51,831.1,532.1,90.3718,90.3781,90.0516,0.3202,0.3265,0.0063
52,535.6,238.3,90.3781,90.3844,90.0516,0.3265,0.3328,0.0063
53,240.6,256.8,90.3844,90.3907,90.0516,0.3328,0.3390,0.0063
54,1024.2,301.2,90.3907,90.3969,90.0516,0.3390,0.3453,0.0063
55,992.2,329.1,90.3969,90.4032,90.0516,0.3453,0.3516,0.0063
56,1010.2,317.2,90.4032,90.4095,90.0516,0.3516,0.3578,0.0063
57,999.0,342.1,90.4095,90.4157,90.0516,0.3578,0.3641,0.0063
58,999.9,310.1,90.4157,90.4220,90.0516,0.3641,0.3704,0.0063
59,1000.6,302.8,90.4220,90.4283,90.0516,0.3704,0.3766,0.0063
60,999.7,323.2,90.4283,90.4345,90.0516,0.3766,0.3829,0.0063
61,1013.1,332.7,90.4345,90.4408,90.0516,0.3829,0.3892,0.0063
62,977.7,297.9,90.4408,90.4471,90.0516,0.3892,0.3954,0.0063
63,1035.2,325.8,90.4470,90.4533,90.0516,0.3954,0.4017,0.0063
64,965.2,306.0,90.4533,90.4596,90.0516,0.4017,0.4080,0.0063
65,1004.5,341.9,90.4596,90.4658,90.0516,0.4080,0.4142,0.0063
66,994.4,307.3,90.4658,90.4721,90.0516,0.4142,0.4205,0.0063
67,999.1,362.4,90.4721,90.4784,90.0516,0.4205,0.4267,0.0063
68,1000.0,383.9,90.4784,90.4846,90.0516,0.4267,0.4330,0.0063
69,1001.0,609.6,90.4846,90.4909,90.0516,0.4330,0.4393,0.0063
70,1004.6,354.5,90.4909,90.4971,90.0516,0.4393,0.4455,0.0063
71,1002.8,341.2,90.4971,90.5034,90.0516,0.4455,0.4518,0.0063
72,993.6,343.4,90.5034,90.5097,90.0516,0.4518,0.4580,0.0063
73,998.2,321.9,90.5096,90.5159,90.0516,0.4580,0.4643,0.0063
74,1000.1,284.9,90.5159,90.5222,90.0516,0.4643,0.4706,0.0063
75,999.0,348.8,90.5222,90.5284,90.0516,0.4705,0.4768,0.0063
76,1000.3,344.0,90.5284,90.5347,90.0516,0.4768,0.4831,0.0063
77,999.7,358.5,90.5347,90.5409,90.0516,0.4831,0.4893,0.0063
78,999.9,346.9,90.5409,90.5472,90.0516,0.4893,0.4956,0.0063
79,1000.4,300.1,90.5472,90.5534,90.0516,0.4956,0.5018,0.0063
80,999.7,287.8,90.5534,90.5597,90.0516,0.5018,0.5081,0.0063
81,1000.1,298.4,90.5597,90.5659,90.0516,0.5081,0.5143,0.0063
82,999.0,343.3,90.5659,90.5722,90.0516,0.5143,0.5206,0.0063
83,1000.7,290.6,90.5722,90.5784,90.0516,0.5206,0.5268,0.0063
84,999.7,335.1,90.5784,90.5847,90.0516,0.5268,0.5331,0.0063
85,999.7,299.6,90.5847,90.5909,90.0516,0.5331,0.5393,0.0063
86,1002.5,313.9,90.5909,90.5972,90.0516,0.5393,0.5456,0.0063
87,1001.4,353.9,90.5972,90.6034,90.0516,0.5455,0.5518,0.0063
88,1008.1,332.6,90.6034,90.6097,90.0516,0.5518,0.5581,0.0063
89,1008.1,336.0,90.6097,90.6159,90.0516,0.5580,0.5643,0.0063
90,988.3,331.8,90.6159,90.6222,90.0516,0.5643,0.5705,0.0063
91,996.3,288.1,90.6221,90.6284,90.0516,0.5705,0.5768,0.0063
92,997.8,307.0,90.6284,90.6346,90.0516,0.5768,0.5830,0.0063
93,999.7,329.1,90.6346,90.6409,90.0516,0.5830,0.5893,0.0063
94,998.4,374.3,90.6409,90.6471,90.0516,0.5892,0.5955,0.0063
95,1001.2,344.8,90.6471,90.6534,90.0516,0.5955,0.6017,0.0063
96,1000.8,334.1,90.6533,90.6596,90.0516,0.6017,0.6080,0.0063
97,998.1,334.9,90.6596,90.6658,90.0516,0.6080,0.6142,0.0063
98,1000.2,297.6,90.6658,90.6721,90.0516,0.6142,0.6205,0.0063
99,1014.9,332.0,90.6721,90.6783,90.0516,0.6204,0.6267,0.0063
100,998.5,342.3,90.6783,90.6845,90.0516,0.6267,0.6329,0.0063
101,1000.2,373.4,90.6845,90.6908,90.0516,0.6329,0.6392,0.0063
102,997.9,375.2,90.6908,90.6970,90.0516,0.6391,0.6454,0.0063
103,1005.4,400.5,90.6970,90.7032,90.0530,0.6440,0.6502,0.0063
104,1016.4,381.5,90.7032,90.7095,90.0653,0.6379,0.6442,0.0063
